DATE,CCBAL
7/1/2012,530.13
10/1/2012,545.31
1/1/2013,516.87
4/1/2013,524.08
7/1/2013,523.91
10/1/2013,541.56
1/1/2014,514.99
4/1/2014,527.78
7/1/2014,534.54
10/1/2014,557.86
1/1/2015,531.89
4/1/2015,546.05
7/1/2015,555.37
10/1/2015,579.77
1/1/2016,555.76
4/1/2016,571.75
7/1/2016,587.99
10/1/2016,618.41
1/1/2017,591.29
4/1/2017,608.44
7/1/2017,621.55
10/1/2017,656.99
1/1/2018,625.57
4/1/2018,641.88
7/1/2018,652.35
10/1/2018,681.87
1/1/2019,650.89
4/1/2019,669.87
7/1/2019,677.66
10/1/2019,714.39
1/1/2020,673.39
4/1/2020,612.94
7/1/2020,599.04
10/1/2020,613.5
1/1/2021,566.22
4/1/2021,585.09
7/1/2021,599.05
10/1/2021,647.49
1/1/2022,632.34
4/1/2022,675.8
7/1/2022,710.65
10/1/2022,764.93
