DATE,CCDQ,CHGCCDQ
1/1/1992,5.27,-0.05
4/1/1992,5.1,-0.17
7/1/1992,4.98,-0.12
10/1/1992,4.69,-0.29
1/1/1993,4.6,-0.09
4/1/1993,4.46,-0.14
7/1/1993,4.08,-0.38
10/1/1993,3.91,-0.17
1/1/1994,3.6,-0.31
4/1/1994,3.29,-0.31
7/1/1994,3.25,-0.04
10/1/1994,3.29,0.04
1/1/1995,3.48,0.19
4/1/1995,3.7,0.22
7/1/1995,3.85,0.15
10/1/1995,3.95,0.1
1/1/1996,4.04,0.09
4/1/1996,4.27,0.23
7/1/1996,4.46,0.19
10/1/1996,4.6,0.14
1/1/1997,4.7,0.1
4/1/1997,4.73,0.03
7/1/1997,4.7,-0.03
10/1/1997,4.81,0.11
1/1/1998,4.76,-0.05
4/1/1998,4.76,0
7/1/1998,4.72,-0.04
10/1/1998,4.74,0.02
1/1/1999,4.66,-0.08
4/1/1999,4.58,-0.08
7/1/1999,4.6,0.02
10/1/1999,4.55,-0.05
1/1/2000,4.43,-0.12
4/1/2000,4.51,0.08
7/1/2000,4.53,0.02
10/1/2000,4.57,0.04
1/1/2001,4.81,0.24
4/1/2001,4.94,0.13
7/1/2001,5,0.06
10/1/2001,4.69,-0.31
1/1/2002,4.94,0.25
4/1/2002,4.78,-0.16
7/1/2002,4.89,0.11
10/1/2002,4.84,-0.05
1/1/2003,4.68,-0.16
4/1/2003,4.53,-0.15
7/1/2003,4.24,-0.29
10/1/2003,4.43,0.19
1/1/2004,4.21,-0.22
4/1/2004,4.15,-0.06
7/1/2004,4.07,-0.08
10/1/2004,4.03,-0.04
1/1/2005,3.7,-0.33
4/1/2005,3.67,-0.03
7/1/2005,3.9,0.23
10/1/2005,3.54,-0.36
1/1/2006,3.86,0.32
4/1/2006,4.13,0.27
7/1/2006,4.12,-0.01
10/1/2006,3.95,-0.17
1/1/2007,3.98,0.03
4/1/2007,4.02,0.04
7/1/2007,4.41,0.39
10/1/2007,4.6,0.19
1/1/2008,4.77,0.17
4/1/2008,4.9,0.13
7/1/2008,4.8,-0.1
10/1/2008,5.64,0.84
1/1/2009,6.51,0.87
4/1/2009,6.77,0.26
7/1/2009,6.49,-0.28
10/1/2009,6.33,-0.16
1/1/2010,5.78,-0.55
4/1/2010,5.1,-0.68
7/1/2010,4.58,-0.52
10/1/2010,4.14,-0.44
1/1/2011,3.82,-0.32
4/1/2011,3.65,-0.17
7/1/2011,3.45,-0.2
10/1/2011,3.25,-0.2
1/1/2012,3.06,-0.19
4/1/2012,2.92,-0.14
7/1/2012,2.82,-0.1
10/1/2012,2.71,-0.11
1/1/2013,2.64,-0.07
4/1/2013,2.53,-0.11
7/1/2013,2.44,-0.09
10/1/2013,2.38,-0.06
1/1/2014,2.32,-0.06
4/1/2014,2.26,-0.06
7/1/2014,2.2,-0.06
10/1/2014,2.15,-0.05
1/1/2015,2.11,-0.04
4/1/2015,2.12,0.01
7/1/2015,2.15,0.03
10/1/2015,2.16,0.01
1/1/2016,2.15,-0.01
4/1/2016,2.21,0.06
7/1/2016,2.29,0.08
10/1/2016,2.37,0.08
1/1/2017,2.4,0.03
4/1/2017,2.49,0.09
7/1/2017,2.54,0.05
10/1/2017,2.48,-0.06
1/1/2018,2.5,0.02
4/1/2018,2.5,0
7/1/2018,2.52,0.02
10/1/2018,2.54,0.02
1/1/2019,2.54,0
4/1/2019,2.59,0.05
7/1/2019,2.6,0.01
10/1/2019,2.61,0.01
1/1/2020,2.69,0.08
4/1/2020,2.45,-0.24
7/1/2020,1.99,-0.46
10/1/2020,2.11,0.12
1/1/2021,1.87,-0.24
4/1/2021,1.59,-0.28
7/1/2021,1.54,-0.05
10/1/2021,1.57,0.03
1/1/2022,1.67,0.1
4/1/2022,1.85,0.18
7/1/2022,2.07,0.22
10/1/2022,2.25,0.18
1/1/2023,2.43,0.18
